epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2860,1.41039,1.02575,1.45262,0.95624,0.87372,0.95968,0.59546,1.39505,0.66495,1.52141,0.008614,0.008614,0.008614
44,2926.31,1.40385,1.02084,1.4509,0.95856,0.86835,0.96135,0.60202,1.35385,0.66165,1.4981,0.008581,0.008581,0.008581
45,2992.03,1.40177,1.00414,1.44545,0.93258,0.90102,0.958,0.58887,1.39176,0.66487,1.51459,0.008548,0.008548,0.008548
46,3057.87,1.39834,1.00913,1.44625,0.95961,0.89197,0.968,0.59339,1.3827,0.64894,1.50573,0.008515,0.008515,0.008515
47,3123.96,1.38405,0.99189,1.428,0.90143,0.93639,0.96205,0.57789,1.41752,0.6629,1.53311,0.008482,0.008482,0.008482
48,3189.72,1.36242,0.98583,1.41769,0.9567,0.92491,0.9724,0.60162,1.40125,0.62745,1.4853,0.008449,0.008449,0.008449
49,3256,1.37381,0.97049,1.41542,0.96033,0.91468,0.96862,0.57706,1.43418,0.6469,1.53274,0.008416,0.008416,0.008416
50,3322.15,1.37763,0.97769,1.4231,0.96315,0.89216,0.96741,0.59601,1.36885,0.65662,1.48247,0.008383,0.008383,0.008383
51,3388.2,1.35996,0.96718,1.41408,0.93836,0.93857,0.97318,0.59113,1.39255,0.63486,1.49312,0.00835,0.00835,0.00835
52,3454.4,1.3616,0.96189,1.4085,0.96191,0.94814,0.98465,0.60355,1.36217,0.6002,1.47836,0.008317,0.008317,0.008317
53,3520.34,1.35827,0.94935,1.40532,0.93344,0.90943,0.96641,0.59508,1.37467,0.62221,1.48741,0.008284,0.008284,0.008284
54,3586.33,1.34821,0.92764,1.39777,0.95274,0.92491,0.97819,0.59938,1.37185,0.63235,1.50204,0.008251,0.008251,0.008251
55,3652.32,1.34662,0.9373,1.39656,0.96509,0.94359,0.97919,0.60401,1.38645,0.5785,1.50628,0.008218,0.008218,0.008218
56,3718.27,1.33404,0.92682,1.39227,0.98092,0.92833,0.9794,0.60227,1.35539,0.60495,1.47917,0.008185,0.008185,0.008185
57,3784.27,1.33237,0.91324,1.37929,0.94533,0.92833,0.96319,0.60503,1.36169,0.62642,1.49297,0.008152,0.008152,0.008152
58,3850.16,1.32661,0.91594,1.39535,0.94789,0.91809,0.97405,0.5987,1.41782,0.62237,1.51731,0.008119,0.008119,0.008119
59,3916.13,1.32449,0.91716,1.39308,0.97665,0.91468,0.97103,0.60726,1.38918,0.59301,1.51331,0.008086,0.008086,0.008086
60,3981.99,1.31844,0.9245,1.38731,0.97129,0.92491,0.97729,0.61195,1.35541,0.59872,1.47787,0.008053,0.008053,0.008053
61,4047.81,1.32481,0.9053,1.38393,0.9515,0.93515,0.97466,0.6213,1.36607,0.61308,1.45603,0.00802,0.00802,0.00802
62,4114.01,1.3048,0.90116,1.36276,0.95849,0.9457,0.97799,0.61469,1.35159,0.57812,1.44856,0.007987,0.007987,0.007987
63,4179.89,1.30162,0.88692,1.3597,0.95539,0.93515,0.97265,0.62095,1.36358,0.57953,1.45428,0.007954,0.007954,0.007954
64,4245.9,1.30731,0.89814,1.36858,0.96591,0.93515,0.98069,0.62659,1.35287,0.56284,1.46106,0.007921,0.007921,0.007921
65,4311.7,1.28664,0.87283,1.34961,0.95701,0.95222,0.97593,0.62114,1.36904,0.56204,1.48793,0.007888,0.007888,0.007888
66,4377.35,1.29899,0.87101,1.35939,0.96498,0.94045,0.97893,0.62465,1.35214,0.56509,1.47018,0.007855,0.007855,0.007855
67,4443.26,1.29577,0.87982,1.3653,0.97321,0.93515,0.9839,0.62337,1.33893,0.57188,1.44633,0.007822,0.007822,0.007822
68,4509.03,1.29744,0.88648,1.35814,0.97534,0.90102,0.97526,0.62019,1.33905,0.57868,1.4391,0.007789,0.007789,0.007789
69,4574.88,1.29632,0.8782,1.35307,0.95165,0.94053,0.97828,0.62838,1.32801,0.56219,1.43599,0.007756,0.007756,0.007756
70,4640.86,1.28065,0.8682,1.34929,0.96667,0.94539,0.98407,0.63503,1.30723,0.55995,1.43348,0.007723,0.007723,0.007723
71,4706.49,1.27723,0.83962,1.34409,0.96514,0.94198,0.983,0.63287,1.31711,0.55825,1.45094,0.00769,0.00769,0.00769
72,4772.41,1.26531,0.85049,1.33913,0.96213,0.94881,0.9839,0.63262,1.33052,0.55236,1.44689,0.007657,0.007657,0.007657
73,4837.99,1.28457,0.84974,1.35178,0.95819,0.93871,0.97988,0.62523,1.33421,0.56991,1.45982,0.007624,0.007624,0.007624
74,4903.81,1.26396,0.8559,1.33649,0.95782,0.96928,0.98686,0.63226,1.31971,0.57138,1.42697,0.007591,0.007591,0.007591
